Column_or_Row_Name,Unit,Definition,Data_Type
obs,N/A,Number observations logged,numeric
time,s,Seconds since Jan 1970,dateTime
elapsed,s,Seconds since first observation,dateTime
date,YYYYMMDD HH:mm:ss,Date & time of last observation,dateTime
hhmmss,HH:mm:ss,HH:MM:SS of last observation,dateTime
averaging,s,Additional averaging on latest observation,numeric
Machine,N/A,Machine identifier,text
Date,YYYY-MM-DD,Date of observation (user input),dateTime
User,N/A,Operator identifier,text
Species,N/A,USDA species symbol,text
SampleID,N/A,Unique sample identifier,text
TIME,s,Seconds since Jan 1970,dateTime
E,mol m-2 s-1,Transpiration rate,numeric
Emm,mmol m-2 s-1,Transpiration rate,numeric
A,µmol m-2 s-1,Assimilation rate,numeric
Ca,µmol mol-1,Ambient (to leaf) CO2,numeric
Ci,µmol mol-1,Intercellular CO2,numeric
Pci,Pa,Ambient (to leaf) CO2,numeric
Pca,Pa,Intercellular CO2,numeric
gsw,mol m-2 s-1,Stomatal conductance to water vapor,numeric
gbw,mol m-2 s-1,Boundary layer conductance to water vapor,numeric
gtw,mol m-2 s-1,Total conductance to water vapor,numeric
gtc,mol m-2 s-1,Total conductance to CO2,numeric
Rabs,W m-2,Absorbed short wave radiation,numeric
TleafEB,°C,Leaf temperature from energy balance,numeric
TleafCnd,°C,Leaf temperature used for gas exchange computations,numeric
SVPleaf,kPa,Saturation vapor pressure at leaf temp,numeric
RHcham,%,Relative humidity in the chamber,numeric
VPcham,kPa,Vapor pressure in the chamber,numeric
SVPcham,kPa,Saturation vapor pressure in the chamber,numeric
VPDleaf,kPa,Vapor pressure deficit at leaf temp,numeric
LatHFlux,W m-2,Latent heat flux,numeric
SenHFlux,W m-2,Sensible heat flux,numeric
NetTherm,W m-2,Net thermal,numeric
EBSum,W m-2,Sum of energy balance components,numeric
Leak,µmol s-1,Leakage from chamber,numeric
LeakPct,%,Leakage as percent of flow,numeric
CorrFact,N/A,Leak correction factor,numeric
CorrFactPct,%,Leak correction factor as percent,numeric
Fan,µmol s-1,Estimated mixing fan flow,numeric
Qin,µmol m-2 s-1,PPFD incident on the leaf,numeric
Qabs,µmol m-2 s-1,PPFD absorbed by the leaf,numeric
alpha,N/A,Weighted leaf absorption,numeric
convert,J µmol-1,Weighted conversion from PPFD to W m-2,numeric
TIME,s,Seconds since Jan 1970,numeric
CO2_s,µmol mol-1,Sample cell CO2 concentration,numeric
CO2_r,µmol mol-1,Reference cell CO2 concentration,numeric
H2O_s,mmol mol-1,Sample cell H2O concentration,numeric
H2O_r,mmol mol-1,Reference cell H2O concentration,numeric
CO2_a,µmol mol-1,Sample cell CO2 w/o match adjust,numeric
H2O_a,mmol mol-1,Sample cell H2O w/o match adjust,numeric
Flow,µmol s-1,Flow rate into chamber,numeric
Pa,kPa,Atmospheric pressure,numeric
deltaPcham,kPa,Chamber overpressure,numeric
Tair,°C,Chamber air temperature,numeric
Tleaf,°C,Leaf thermocouple #1,numeric
Tleaf2,°C,Leaf thermocouple #2,numeric
Offset,°C,Offset built-in to Tleaf,numeric
Offset2,°C,Offset built-in to Tleaf2,numeric
Fan_speed,rpm,Chamber fan rotation rate,numeric
Qamb_in,µmol m-2 s-1,In-chamber ambient PPFD,numeric
Qamb_out,µmol m-2 s-1,External ambient PPFD,numeric
deltaCO2,µmol mol-1,Sample - Reference CO2,numeric
CO2_s_d,µmol mol-1,"Sample cell CO2 , dry mole fraction",numeric
CO2_r_d,µmol mol-1,"Reference cell CO2 , dry mole fraction",numeric
deltaH2O,mmol mol-1,Sample - Reference H2O,numeric
CO2_b,µmol mol-1,Reference cell CO2 w/o match adjust,numeric
H2O_b,mmol mol-1,Reference cell H2O w/o match adjust,numeric
e_s,kPa,Sample cell vapor pressure,numeric
e_r,kPa,Reference cell vapor pressure,numeric
Td_s,°C,Sample cell dew point,numeric
Td_r,°C,Reference cell dew point,numeric
Q,µmol m-2 s-1,Light source output,numeric
f_red,N/A,Fraction red,numeric
f_blue,N/A,Fraction blue,numeric
f_farred,N/A,Fraction far red,numeric
F,N/A,Demodulated fluorescence,numeric
Q_modavg,µmol m-2 s-1,Modulated contribution to Q,numeric
F_dc,N/A,DC fluorescence,numeric
Pc,N/A,Photodiode count,numeric
Tled,°C,LED tile temperature,numeric
TDigital,°C,Digital board temperature,numeric
TPreamp,°C,Preamp board temperature,numeric
TPwrSpy,°C,Power supply temperature,numeric
TDrive,°C,Driver temperature,numeric
Q_red,µmol m-2 s-1,Red actinic contribution to Q,numeric
Q_blue,µmol m-2 s-1,Blue actinic contribution to Q,numeric
Q_farred,µmol m-2 s-1,Far red actinic contribution to Q,numeric
TSPF,s,Time since previous flash,numeric
state,N/A,"0=Normal, 1=Rect, 2=MPF, 3=Ind, 4=Dark",numeric
time,secs,Time of last match (Seconds since Jan 1970),numeric
hhmmss,HH:mm:ss,Time of last match,numeric
co2_t,s,Last CO2 match time,numeric
h2o_t,s,Last H2O match time,numeric
count,N/A,Match count number,numeric
co2_adj,µmol mol-1,Pre-match error: CO2_r - CO2_s at last match. Ideally 0.,numeric
h2o_adj,mmol mol-1,Pre-match error: H2O_r - H2O_s at last match. Ideally 0.,numeric
co2_match,µmol mol-1,Match correction: CO2_r - CO2_a at last pt. match.,numeric
h2o_match,mmol mol-1,Match correction: H2O_r - H2O_a at last pt. match.,numeric
co2_at,µmol mol-1,CO2 at last match,numeric
h2o_at,mmol mol-1,H2O at last match,numeric
co2_cv,%,CV of last CO2 match,numeric
h2o_cv,%,CV of last H2O match,numeric
CO2_d.Meas2:MN,µmol mol-1,Mean of dCO2,numeric
CO2_d.Meas2:SLP,µmol mol-1 min-1,Rate of change of dCO2,numeric
CO2_d.Meas2:SD,µmol mol-1,Standard deviation of dCO2,numeric
CO2_d.Meas2:OK,N/A,Stable status dCO2,numeric
H2O_d.Meas2:MN,µmol mol-1,Mean of dH2O,numeric
H2O_d.Meas2:SLP,µmol mol-1 min-1,Rate of change of dH2O,numeric
H2O_d.Meas2:SD,µmol mol-1,Standard deviation of dH2O,numeric
H2O_d.Meas2:OK,N/A,Stable status dH2O,numeric
A:MN,µmol m-2 s-1,Mean of A,numeric
A:SLP,µmol m-2 s-1,Rate of change of A,numeric
A:SD,µmol m-2 s-1,Standard deviation of A,numeric
A:OK,N/A,Stable status A,numeric
CO2_r:MN,µmol mol-1,Mean of CO2r,numeric
CO2_r:SLP,µmol mol-1 min-1,Rate of change of CO2_r,numeric
CO2_r:SD,µmol mol-1,Standard deviation of CO2_r,numeric
CO2_r:OK,N/A,Stable status CO2_r,numeric
Qin:MN,µmol m-2 s-1,Mean of Qin,numeric
Qin:SLP,µmol m-2 s-1,Rate of change of Qin,numeric
Qin:SD,µmol m-2 s-1,Standard deviation of Qin,numeric
Qin:OK,N/A,Stable status Qin,numeric
Stable,N/A,Number of stable items,numeric
Total,N/A,Number of items tracked,numeric
State,N/A,stable # / total #,numeric
Vflow,V,Flow meter signal,numeric
VPchamber,V,Chamber pressure sensor signal,numeric
abs_c_a,N/A,CO2 absorptance cell A,numeric
abs_c_b,N/A,CO2 absorptance cell B,numeric
abs_h_a,N/A,H2O absorptance cell A,numeric
abs_h_b,N/A,H2O absorptance cell B,numeric
Wc_s,N/A,"Absorbing counts, CO2 sample",numeric
Wc_r,N/A,"Absorbing counts, CO2 ref",numeric
Wco_s,N/A,"Non-absorbing counts, CO2 sample",numeric
Wco_r,N/A,"Non-absorbing counts, CO2 ref",numeric
Ww_s,N/A,"Absorbing counts, H2O sample",numeric
Ww_r,N/A,"Absorbing counts, H2O ref",numeric
Wwo_s,N/A,"Non-absorbing counts, H2O sample",numeric
Wwo_r,N/A,"Non-absorbing counts, H2O ref",numeric
Flow_s_v,V,Sample cell flow signal,numeric
Flow_r_v,V,Reference cell flow signal,numeric
Tleaf_mv,mV,Leaf temp V,numeric
Tleaf2_mv,mV,Leaf2 temp V,numeric
Tleaf_j,°C,Tleaf junction temp,numeric
Tleaf2_j,°C,Tleaf2 junction temp,numeric
Console_RH,%,RH after humidifer,numeric
Console_T,°C,T after humidifer,numeric
Console_H2O,mmol mol-1,H2O after humidifer,numeric
Fan_%,%,Fan speed in percent,numeric
Flow_%,%,"Flow split position, -100 to +100",numeric
